CustomerID,Lookalikes
C0001,"[('C0091', 0.9811930911179431), ('C0191', 0.9805803372270192), ('C0120', 0.9777323738563908)]"
C0002,"[('C0134', 0.9865879183868886), ('C0178', 0.983281302707014), ('C0159', 0.9826440123951086)]"
C0003,"[('C0031', 0.998321773433538), ('C0158', 0.9970105428398987), ('C0129', 0.9863141089861315)]"
C0004,"[('C0113', 0.99005928752917), ('C0163', 0.9838386444906554), ('C0012', 0.9816978202551867)]"
C0005,"[('C0007', 0.9989935667503209), ('C0146', 0.9955322144350535), ('C0186', 0.9886709782555455)]"
C0006,"[('C0187', 0.9881686926932988), ('C0158', 0.9746414906346904), ('C0133', 0.9703483309936638)]"
C0007,"[('C0005', 0.9989935667503209), ('C0146', 0.9963566648304955), ('C0115', 0.9880981105177743)]"
C0008,"[('C0194', 0.9684023530936041), ('C0059', 0.9675491670807577), ('C0122', 0.9630917678844721)]"
C0009,"[('C0198', 0.9806478825469185), ('C0061', 0.978365108616387), ('C0111', 0.9727654801371131)]"
C0010,"[('C0061', 0.9847200894973125), ('C0062', 0.9747353792434048), ('C0009', 0.9681047239120961)]"
C0011,"[('C0126', 0.9957159956373091), ('C0048', 0.9778015403930063), ('C0169', 0.9769953511789402)]"
C0012,"[('C0163', 0.9876470341171445), ('C0104', 0.9875713067954058), ('C0152', 0.9836434817823858)]"
C0013,"[('C0102', 0.9836320456491499), ('C0188', 0.9819254004179145), ('C0107', 0.977165254672431)]"
C0014,"[('C0060', 0.9997579390394998), ('C0063', 0.9767285502521036), ('C0073', 0.9691269543779436)]"
C0015,"[('C0131', 0.9930499320525663), ('C0144', 0.9814093626015481), ('C0036', 0.9757942681412477)]"
C0016,"[('C0183', 0.9999985047422835), ('C0067', 0.9893740579581497), ('C0072', 0.9870330717345542)]"
C0017,"[('C0075', 0.9914819650266821), ('C0051', 0.9867285771902363), ('C0057', 0.9856273137506726)]"
C0018,"[('C0035', 0.9842610898714735), ('C0125', 0.9795653906339102), ('C0026', 0.9793968028675791)]"
C0019,"[('C0070', 0.9708422566473143), ('C0023', 0.9707443974521432), ('C0057', 0.964406711625928)]"
C0020,"[('C0015', 0.962628599795345), ('C0058', 0.96049181632588), ('C0033', 0.9589941201031091)]"
